学校,考试方向,院系,其他,专业代码,学习方式,研究方向,指导老师,拟招人数
(10610)四川大学,统考,(202)物理学院,,(080900)电子科学与技术,全日制,(01)微电子学与固体电子学,龚敏　张嗣杰　张析　高博　Maureen Willis,专业：3(不含推免),备注：,复试科目：半导体物理综合。学制：3年。学费：8000元/生.年。
(10610)四川大学,统考,(205)电子信息学院,,(080900)电子科学与技术,全日制,(01)物理电子学,张彬　张蓉竹　周寿桓　王俊　冯国英　韩敬华　汪莎　周昕,专业：29(不含推免),备注：,复试科目：波动光学。学制：3年。学费：8000元/生.年。
(10610)四川大学,统考,(205)电子信息学院,,(080900)电子科学与技术,全日制,(02)电路与系统,吴晓红　王正勇　邓洪敏　李健　王勇　李智,专业：29(不含推免),备注：,复试科目：电路理论。学制：3年。学费：8000元/生.年。
(10610)四川大学,统考,(205)电子信息学院,,(080900)电子科学与技术,全日制,(03)电磁场与微波技术,黄卡玛　刘长军　陈星　杨阳　郭庆功　闫丽萍　赵翔　华伟　杨晓庆　张冰　朱铧丞,专业：29(不含推免),备注：,复试科目：计算机高级语言（任选《C语言》 《FORTRAN语言》《BASIC语言》其中一种）。学制：3年。学费：8000元/生.年。
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080902)电路与系统,全日制,(01)集成电路设计,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础(数电) ③计算机组成原理(任选二门，且不能和初试科目重复)
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080902)电路与系统,全日制,(02)智能感知与信息获取技术,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础(数电) ③计算机组成原理(任选二门，且不能和初试科目重复)
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080902)电路与系统,全日制,(03)信息处理电路与系统,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础(数电) ③计算机组成原理(任选二门，且不能和初试科目重复)
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080902)电路与系统,全日制,(04)物联网技术,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础(数电) ③计算机组成原理(任选二门，且不能和初试科目重复)
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080903)微电子学与固体电子学,全日制,(01)集成电路设计,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础（数电） ③计算机组成原理  （任选二门，且不能和初试科目重复）
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080903)微电子学与固体电子学,全日制,(02)电子器件及材料,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础（数电） ③计算机组成原理  （任选二门，且不能和初试科目重复）
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080903)微电子学与固体电子学,全日制,(03)现代天线理论及应用,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础（数电） ③计算机组成原理  （任选二门，且不能和初试科目重复）
(10613)西南交通大学,统考,(004)信息科学与技术学院,,(080903)微电子学与固体电子学,全日制,(04)嵌入式系统研究,,专业：3(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础（数电） ③计算机组成原理  （任选二门，且不能和初试科目重复）
(10613)西南交通大学,统考,(011)物理科学与技术学院,,(080900)电子科学与技术,全日制,(01)物理电子学,,专业：13(不含推免),备注：,同等学力加试科目:①数学物理方法(含特殊函数)②电磁理论或天线原理与设计
(10613)西南交通大学,统考,(011)物理科学与技术学院,,(080900)电子科学与技术,全日制,(02)电磁场与微波技术,,专业：13(不含推免),备注：,同等学力加试科目： ①数学物理方法(含特殊函数) ②电磁理论或天线原理与设计
(10614)电子科技大学,统考,(002)电子科学与工程学院,,(080900)电子科学与技术,全日制,(01)电磁场与微波技术（微波理论与技术，计算电磁学与工程电磁学，天线理论与技术）,聂在平/唐小宏/潘锦/胡皓全/杨仕文/樊勇/杨峰/赵志钦/胡俊/赵延文/唐璞/张永鸿/李恩/郭高凤/宋开军/肖飞/林先其/金晓林/夏明耀/崔红玲/阙肖峰/谢小强/何宗锐/班永灵/屈世伟/陈波/程钰间/欧阳骏/孙向阳/杨德强/宗显政/陈涌频/张波/赵明华/何子远/等见招生简章/等见招生?,专业：128(不含推免),备注：,
(10614)电子科技大学,统考,(002)电子科学与工程学院,,(080900)电子科学与技术,全日制,(02)电路与系统（电子信息与系统集成，微波、毫米波集成电路与系统，微纳电路与系统）,徐锐敏/钟洪声/鲍景富/习友宝/延波/杨涛/张勇/敬守钊/何松柏/张徐亮/唐续/李朝海/唐红艳/杨自强/宋亚梅/康凯/王军/陈学英/付炜/王志刚/刘宇/游飞/陈骏莲/陈瑜/胡江/徐跃杭/吴韵秋/李廷军/陈会/孔斌/夏雷/杨涛/孙旭/周翼鸿/彭浩/赵晨曦/张晓升/等见招生简章/等见招生简?,专业：128(不含推免),备注：,
(10614)电子科技大学,统考,(002)电子科学与工程学院,,(080900)电子科学与技术,全日制,(03)微电子学与固体电子学（微电子工艺与微系统集成，功率半导体器件与集成，集成电路与系统设计）,陈星弼/李平/张波/李威/赵建明/叶星宁/陈勇/罗萍/刘诺/方健/于奇/周伟/李泽宏/阮爱武/荣丽梅/王忆文/刘洋/罗小蓉/王向展/李强/贺雅娟/陈万军/乔明/邓小川/黄文/刘志伟/王卓/廖永波/杜江锋/王海/任敏/唐鹤/戴丽萍/李建军/李俊宏/罗谦/谢小东/等见招生简章/等见招生简章/,专业：128(不含推免),备注：,
