学校,考试方向,院系,其他,专业代码,学习方式,研究方向,指导老师,拟招人数,,
西南交通大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,计算机应用技术,,专业：19(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础（数电） ③计算机组成原理 （任选二门，且不能和初试科目重复）
西南交通大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,计算机软件与理论,,专业：19(不含推免),备注：,
西南交通大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,计算机网络与信息安全,,专业：19(不含推免),备注：,
西南交通大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,产业链协同与信息化支撑技术,,专业：19(不含推免),备注：,
西南交通大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,大数据与云计算技术,,专业：19(不含推免),备注：,
西南交通大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,人工智能与机器学习技术,,专业：19(不含推免),备注：,同等学力加试科目：①程序设计 ②电子技术基础（数电） ③计算机组成原理 （任选二门，且不能与初试科目重复）
西南交通大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,图形图像与视频处理技术,,专业：19(不含推免),备注：,
电子科技大学,统考,计算机科学与工程学院,,计算机科学与技术,全日制,计算理论,,专业：46(不含推免),备注：,
电子科技大学,统考,计算机科学与工程学院,,计算机科学与技术,全日制,机器智能与模式识别,,专业：46(不含推免),备注：,
电子科技大学,统考,计算机科学与工程学院,,计算机科学与技术,全日制,数字媒体技术,,专业：46(不含推免),备注：,
电子科技大学,统考,计算机科学与工程学院,,计算机科学与技术,全日制,计算机系统结构与高性能计算,,专业：46(不含推免),备注：,
电子科技大学,统考,计算机科学与工程学院,,计算机科学与技术,全日制,计算机网络与系统安全,,专业：46(不含推免),备注：,
电子科技大学,统考,计算机科学与工程学院,,计算机科学与技术,全日制,云计算与大数据处理,,专业：46(不含推免),备注：,
电子科技大学,统考,计算机科学与工程学院,,计算机科学与技术,全日制,嵌入式系统,,专业：46(不含推免),备注：,
电子科技大学,统考,基础与前沿研究院,,计算机科学与技术,全日制,计算理论,,专业：4(不含推免),备注：,
电子科技大学,统考,基础与前沿研究院,,计算机科学与技术,全日制,机器智能与模式识别,,专业：4(不含推免),备注：,
电子科技大学,统考,基础与前沿研究院,,计算机科学与技术,全日制,数字媒体技术,,专业：4(不含推免),备注：,
电子科技大学,统考,基础与前沿研究院,,计算机科学与技术,全日制,计算机系统结构与高性能计算,,专业：4(不含推免),备注：,
电子科技大学,统考,基础与前沿研究院,,计算机科学与技术,全日制,计算机网络与系统安全,,专业：4(不含推免),备注：,
电子科技大学,统考,基础与前沿研究院,,计算机科学与技术,全日制,云计算与大数据处理,,专业：4(不含推免),备注：,
电子科技大学,统考,基础与前沿研究院,,计算机科学与技术,全日制,嵌入式系统,,专业：4(不含推免),备注：,
电子科技大学,统考,电子科学技术研究院,,计算机科学与技术,全日制,计算理论,,专业：4(不含推免),备注：,
电子科技大学,统考,电子科学技术研究院,,计算机科学与技术,全日制,机器智能与模式识别,,专业：4(不含推免),备注：,
电子科技大学,统考,电子科学技术研究院,,计算机科学与技术,全日制,数字媒体技术,,专业：4(不含推免),备注：,
电子科技大学,统考,电子科学技术研究院,,计算机科学与技术,全日制,计算机系统结构与高性能计算,,专业：4(不含推免),备注：,
电子科技大学,统考,电子科学技术研究院,,计算机科学与技术,全日制,计算机网络与系统安全,,专业：4(不含推免),备注：,
电子科技大学,统考,电子科学技术研究院,,计算机科学与技术,全日制,云计算与大数据处理,,专业：4(不含推免),备注：,
电子科技大学,统考,电子科学技术研究院,,计算机科学与技术,全日制,嵌入式系统,,专业：4(不含推免),备注：,
电子科技大学,单考,计算机科学与工程学院,,计算机科学与技术,全日制,计算理论,,专业：1(不含推免),备注：,
电子科技大学,单考,计算机科学与工程学院,,计算机科学与技术,全日制,机器智能与模式识别,,专业：1(不含推免),备注：,
电子科技大学,单考,计算机科学与工程学院,,计算机科学与技术,全日制,数字媒体技术,,专业：1(不含推免),备注：,
电子科技大学,单考,计算机科学与工程学院,,计算机科学与技术,全日制,计算机系统结构与高性能计算,,专业：1(不含推免),备注：,
电子科技大学,单考,计算机科学与工程学院,,计算机科学与技术,全日制,计算机网络与系统安全,,专业：1(不含推免),备注：,
电子科技大学,单考,计算机科学与工程学院,,计算机科学与技术,全日制,云计算与大数据处理,,专业：1(不含推免),备注：,
电子科技大学,单考,计算机科学与工程学院,,计算机科学与技术,全日制,嵌入式系统,,专业：1(不含推免),备注：,
成都理工大学,统考,信息科学与技术学院,,计算机科学与技术,全日制,计算机网络与信息系统,,专业：12(不含推免),备注：,
